Datetime,Tweet Id,Text,Username
2020-12-30 17:11:33+00:00,1344330294376034307,@HalomoanIkhsan Gasken pindah xlhome 1gbps,MaulanaHasyim
2020-12-30 03:31:18+00:00,1344123870899400706,@collegemenfess xlhome 280k/bulan,imma_aggie
2020-12-30 02:50:24+00:00,1344113578278719488,"@tovan_hnd Buat wifi? Indihome msh kenceng sih rerata. Kalau msh dket kota ya bisa idhome, xlhome, gmedia.Kalo buat hp, telkomsel sm xl. Tri bagus cuma dket2 kota aja. Mulai masuk kampung2 ya telkomsel sm xl",izzaty2011
2020-12-29 17:33:04+00:00,1343973323680583680,xlhome klo tiap pagi buta gini error mulu deh,maybooya
2020-12-29 17:07:54+00:00,1343966989442633729,@makeitpaw xlhome 😔💔,strawbright
2020-12-29 01:25:27+00:00,1343729811471040515,"@msjekki Hi Jek, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-29 01:21:23+00:00,1343728790434791424,"@jusri27174501 Hi Jusri, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-29 00:01:11+00:00,1343708607670435840,"@m4r_kun  Hi, terkait dengan pertanyaan tersebut kami tidak ada informasi nih. Terlebih lagi untuk perangkat yang ditanyakan diluar dari layanan XLHOME Fiber. Thanks^Adi :)",xlhomeid
2020-12-28 19:37:20+00:00,1343642207031463937,"5x muncul ilang muncul ilang @xlhomeid , tolong lah, konsisten xlhome, kalo lagi perbaikan kabarkan dulu",CadelAL
2020-12-28 19:30:16+00:00,1343640429066010624,Selamat malam sohabatku @Xlhome_Jogja sudah gak kuat ini pentung terus,MaulanIkhsa
2020-12-28 19:21:00+00:00,1343638096412200961,Xlhome kl malem bala bgt. mana tsel jg sama aja......,trashooky
2020-12-28 19:07:04+00:00,1343634591135907840,Xlhome tolong lah @xlhomeid,CadelAL
2020-12-28 18:16:10+00:00,1343621779844042754,"@xlhomeid Bagaimana nih XLhome? Langganan fiber dijanjikan good service, malam ini saya telp CS tidak dijawab. Padahal mau dipakai untuk meeting.",RobbyGo
2020-12-28 18:12:36+00:00,1343620884276244480,Xl home pondok melati sehat? Ada apa ini? #xlhome @xlhomeid,albrebet
2020-12-28 18:11:43+00:00,1343620660766023680,ni xlhome ngape sik tengah malem pake error segala,benazzzzz
